NAME1,AGGREGATE2,MEDIUM3,VARIABLE4,UNITS5,DATESTART6,DSID7,HEIGHTDEPTH8,VALUE8,UNITS8,DASHBOARD9,Variable Code
Air Temp Deg C 10 m Angelo Avg,Average,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3358,height,10,Inches,1,Air Temp C Avg
Air Temp Deg C 10 m Angelo Max,Maximum,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3356,height,10,Inches,,Air Temp C Max
Air Temp Deg C 10 m Angelo Min,Minimum,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3357,height,10,Inches,,Air Temp C Min
Air Temp Deg C 2 m Angelo Avg,Average,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3355,height,2,Inches,1,Air Temp C Avg
Air Temp Deg C 2 m Angelo Max,Maximum,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3353,height,2,Inches,,Air Temp C Max
Air Temp Deg C 2 m Angelo Min,Minimum,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3354,height,2,Inches,,Air Temp C Min
Air Temp Deg C Angelo Avg,Average,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3345,,,,1,Air Temp C Avg
Air Temp Deg C Angelo Max,Maximum,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3343,,,,,Air Temp C Max
Air Temp Deg C Angelo Min,Minimum,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3344,,,,,Air Temp C Min
Air Temp Delta Deg C 10m-2m Angelo Avg,Average,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3361,height,2-Oct,Inches,,Air Temp Delta C Avg
Air Temp Delta Deg C 10m-2m Angelo Max,Maximum,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3359,height,2-Oct,Inches,,Air Temp Delta C Max
Air Temp Delta Deg C 10m-2m Angelo Min,Minimum,Air,Temperature,DegreeCelsius,2013-05-07T15:10:00.000Z,3360,height,2-Oct,Inches,,Air Temp Delta C Min
Barometric Pressure mbar Angelo Avg,Average,Air,BarometricPressure,Millibar,2013-05-07T15:10:00.000Z,3349,,,,1,Barometric Pressure mb
Battery Voltage volts Angelo Avg,Average,Battery,Voltage,Millivolt ,2013-05-07T15:10:00.000Z,3380,,,,,Battery Voltage Avg
