NAME1,AGGREGATE2,MEDIUM3,VARIABLE4,UNITS5,DATESTART6,DSID7,HEIGHTDEPTH8,VALUE8,UNITS8,DASHBOARD9,Variable Code
Air Temp Deg C 10 m Blue Oak Avg,Average,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3090,height,10,Inches,1,Air Temp C Avg
Air Temp Deg C 10 m Blue Oak Max,Maximum,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3088,height,10,Inches,,Air Temp C Max
Air Temp Deg C 10 m Blue Oak Min,Minimum,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3089,height,10,Inches,,Air Temp C Min
Air Temp Deg C 2 m Blue Oak Avg,Average,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3087,height,2,Inches,1,Air Temp C Avg
Air Temp Deg C 2 m Blue Oak Max,Maximum,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3085,height,2,Inches,,Air Temp C Max
Air Temp Deg C 2 m Blue Oak Min,Minimum,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3086,height,2,Inches,,Air Temp C Min
Air Temp Deg C Blue Oak Avg,Average,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3077,,,,1,Air Temp C Avg
Air Temp Deg C Blue Oak Max,Maximum,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3075,,,,,Air Temp C Max
Air Temp Deg C Blue Oak Min,Minimum,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3076,,,,,Air Temp C Min
Air Temp Delta Deg C 10m-2m Blue Oak Avg,Average,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3093,height,2-Oct,Inches,,Air Temp Delta C Avg
Air Temp Delta Deg C 10m-2m Blue Oak Max,Maximum,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3091,height,2-Oct,Inches,,Air Temp Delta C Max
Air Temp Delta Deg C 10m-2m Blue Oak Min,Minimum,Air,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3092,height,2-Oct,Inches,,Air Temp Delta C Min
Barometric Pressure mbar Blue Oak Avg,Average,Air,BarometricPressure,Millibar,2011-06-03T13:00:00.000Z,3081,,,,1,Barometric Pressure mb
Battery Voltage volts Blue Oak Avg,Average,Battery,Voltage,Millivolt ,2011-06-03T13:00:00.000Z,3112,,,,,Battery Voltage Avg
Battery Voltage volts Blue Oak Max,Maximum,Battery,Voltage,Millivolt ,2011-06-03T13:00:00.000Z,3110,,,,,Battery Voltage Max
Battery Voltage volts Blue Oak Min,Minimum,Battery,Voltage,Millivolt ,2011-06-03T13:00:00.000Z,3111,,,,,Battery Voltage Min
Datalogger Panel Temp Deg C Blue Oak,None,Instrument,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3113,,,,,Logger Temp c
PAR um m2 Blue Oak Avg,Average,Solar,PhotosyntheticallyActiveRadiation,MicromolePerSquareMeter,2011-06-03T13:00:00.000Z,3066,,,,1,PAR umole
PAR um m2 Blue Oak Max,Maximum,Solar,PhotosyntheticallyActiveRadiation,MicromolePerSquareMeter,2011-06-03T13:00:00.000Z,3067,,,,,PAR umole
PAR um m2 Blue Oak Min,Minimum,Solar,PhotosyntheticallyActiveRadiation,MicromolePerSquareMeter,2011-06-03T13:00:00.000Z,3068,,,,,PAR umole
Precipitation mm Blue Oak,Cumulative,Precipitation,Height,Millimeter,2011-06-03T13:00:00.000Z,3082,,,,1,Rainfall mm
Precipitation mm Blue Oak Cumulative,Cumulative,Precipitation,Height,Millimeter,2011-06-03T13:00:00.000Z,3083,,,,,Derived Cumulative Precipitation
Rain Gage Temp Deg C Blue Oak,NULL,Instrument,Temperature,DegreeCelsius,2011-06-03T13:00:00.000Z,3084,,,,,Rain Gauge Temp C
Relative Humidity Per Blue Oak Avg,Average,Air,Moisture,Percent,2011-06-03T13:00:00.000Z,3080,,,,1,Rel Humidity Per Avg
Relative Humidity Per Blue Oak Max,Maximum,Air,Moisture,Percent,2011-06-03T13:00:00.000Z,3078,,,,,Rel Humidity Per Max
Relative Humidity Per Blue Oak Min,Minimum,Air,Moisture,Percent,2011-06-03T13:00:00.000Z,3079,,,,,Rel Humidity Per Min
Soil Moisture TDR freq 4 in horiz Blue Oak,Count,Soil,DielectricStrength,VoltPerMeter,2011-06-03T13:00:00.000Z,3114,,,,,Dielectric
Soil Moisture VWC Blue Oak Avg,Average,Soil,Moisture,Percent,2011-06-03T13:00:00.000Z,3106,,,,,Soil Moisture Pct Avg
